CID,TID,id,number,title,length,artist,album,year,language
38,40,8885050,2,270000,Flip Flop,Lark Daddy,Eleven Phases: Detroit Compilation,1998,English
39,41,8007924,8,'Pines of Rome' - The Pines of the Villa Borghese,162000,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,,English
40,42,14473983,20,Annemarie,106000,Feest Team,Après Ski Safari: Vol 4,2007,Dutch
41,43,4336998,5,Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,402840,Ella Fitzgerald,30 by Ella,1999,English
6357,44,8189419,3,Day of Mine,251000,Toktok vs. Soffy O.,Essential Dance 2002,2002,English
42,45,15645510,B1,Southern Star,266000,Uriah Heep,Into the Wild,2011,English
43,46,4888284,8,Estranged,681000,Guns N’ Roses,Revolution Calling,,English
6335,47,8763909,30,Some(U).,30000,Bill Baylis,Media Beats,,English
44,48,13634017,13,,158533,The Lovett Sisters,"The Gals of the Big ""D"" Jamboree",2001,English
45,49,1331353,5,Al verte las flores lloran,162333,Camarón de la Isla,Una leyenda flamenca,199 2,Spanish
46,50,1551051,6,Murder & Mayhem,386506,Noelle Hampton,Under These Skies,,English
47,51,8491962,8,Mindsweeping,51000,Scrooge,Cinematograph,1 997,[Multiple languages]
48,52,2410094,11,Easter Processions: Hymne,161560,[religious music],The Inspiration of Gregorian Chant,1995,Latin
49,53,1915738,4,Red Chips,330946,Boytronic,The Working Model (Reverse),20 03,English
50,54,11382987,10,Some(M).,257000,Eruca Sativa,Es,z010,Spanish
51,55,6620881,3,Busybodies,227773,Tropical Dudes,Tropical Monsters,2008,English
52,56,15151017,5,Piranhes,312000,Rattler,Demo 2012,,English
53,57,5615672,3,Jayne,217493,Stereophonics,The Sunday Times: The State of Independence - V2,2007,English
54,58,1226432,1,Why Not,178866,Hilary Duff,The Lizzie McGuire Movie,,English
55,59,1259197,1,Nation of Sorrow,,Battle Zone,Arson Around With Matches,,English
56,60,15463786,2,Ronin on Air,181000,Younnat,Radiovision,,English
57,61,11502136,22,Over There Story,,Krüger Brothers,Carolina Scrapbook,1 999,English
58,62,11103848,1,Vivid Whitsun,276000,Molly Half Head,Sulk,1993,English
59,63,7972929,5,Nefes (live in Bodrum),420000,Telvin,Telvin,2006,Turkish
60,64,8153252,53,Some(慈).,6253,マリア starring 田中理恵,「ハヤテのごとく!」 キャラクターCD 2, 2007,Japanese
61,65,6813164,1,Stronger Woman,242693,Jewel,Perfectly Clear,2008,English
62,66,11601179,4,,,松任谷由実,ANNIVERSARY〜無限にCALLING YOU,1989,Japanese
63,67,11146588,4,Johnny's Garden,167666,Manassas,Carry On,1998,English
64,68,2591030,9,Of Sins and Shadows,,Symphony X,"2003-04-17: Langen, Germany",,English
65,69,13357305,11,Apache (instrumental),182840,Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages]
66,70,1937682,11,Non ti dimenticherò,299054,Gianni Morandi,Come fa bene l'amore,200 0,Italian
67,71,14142848,10,***,212000,Wind Hearse,Witch's Arrows,,English
68,72,10752909,1,Sunlight,220933,The One AM Radio,Heaven Is Attached by a Slender Thread,2 011,English
69,73,12281728,1,Disorder,212333,Joy Division,Unknown Pleasures,1988,English
70,74,7394285,5,Gavoten Ar Vro Boulet,239160,Bagad Roñsed-Mor,Mega Celtique,2006,English
1450,75,15966824,1,Some(K).,184000,Kolibri,Kaikki anteeks,&,Finnish
71,76,4317235,6,Broken,264653,Amber Claire,Love and Such,,English
72,77,3932982,4,Daytime TV,175066,Coffin Nails,Out for the Weekend,Z,English
73,78,12430731,8,Liquor Store Blues,229360,Bruno Mars feat. Damian Marley,Doo-Wops & Hooligans,2O11,English
74,79,10461342,6,Some(P).,148973,Ser Un Peyjalero,U,1993,English
75,80,6555089,14,Ik ben een gokker,190960,André Hazes,De Hazes 100: Van de fans - Voor de fans,a2006,Dutch
76,81,7915776,9,,32533,Steen1,Runoja kontrollihuoneesta,,Finnish
77,82,9107971,11,,158000,Macromassa,Los hechos Pérez,19 93,Spanish
78,83,4404827,10,"Chut, chut",118373,Frederica von Stade,Canteloube : Chants d'Auvergne,,French
79,84,5542698,3,Oilean Draiochta,262000,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,19q8,English
4449,85,13427640,7,That's Alright,264026,John Lee Hooker feat. Charlie Musselwhite,The Healer,2001,English
80,86,3256263,6,Haste Suraj Ki,92080,Nadeem-Shravan,Dil Ka Rishta,,Hindi
81,87,2183942,6,You,299533,Violet Indiana,Russian Doll,2004,English
82,88,1623024,2,Marieke,179906,Jacques Brel,"Intégrale Grand Jacques, Volume 10 : Ne me quitte pas",1988,French
83,89,6253186,8,Van mij kan je de pot op,150000,Lowland Trio,Hollands Glorie: Lowland Trio,2002,Dutch
84,90,7256512,6,,232066,Tim O’Brien,Chameleon,Z008,English
85,91,12431478,11,You're the Only Good Thing (That's Happened to Me),,Jim Reeves,40 Golden Greats,1975,English
86,92,5168508,3,According to Me,,Mind the Gap,Make All the Kids Cry,2o 05,[Multiple languages]
631,93,4749681,5,Ring of Fire,159600,Johnny Cash,San Quentin & Other Hits,,English
87,94,14524077,6,Some(N).,224040,Randy Crawford,The Love Songs,,
88,95,11079652,6,Hymn 48 (Jesus Is King),73000,Cherokee National Youth Choir,Cherokee Sunday Morning,2 005,English
89,96,15919255,39,Sunday on My Mind (original mix),430897,Daniel Stefanik,Berlin Afterhour 3 - From Minimal to Techno - From Electro to House,,English
90,97,10987166,10,Eight Pieces for Flute Alone -- Rezitativ,84000,Paul Hindemith,Mark Sparks flute with Clinton Adams piano,,
91,98,8353082,3,We Are the Prisoners,104746,The Kids,Anthology, 2007,English
92,99,2838625,3,There's Only One (Holy One),222400,Caedmon's Call,Share the Well,2004,English
3345,100,14211647,8,[unknown],417949,Leon Bolier,"2009-04-19: A State of Trance #400, ""72 Hours Radio, Part 9: Leon Bolier""",,English
93,101,10034738,2,Endless Winter,443440,Marconi Union,A Lost Connection,2a01 0,English
94,102,3729210,3,Too Far Gone,242000,The All‐American Rejects,"Same Girl, New Songs",,English
95,103,13087464,4,"Slow, Loud and Bangin' (S.L.A.B.ed)",337000,"Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T","Slow, Loud and Bangin', Volume 4",2004,English
96,104,8435806,7,Junior Crehan's / Junior Crejan's (flings),179000,The Mulcahy Family,The Mulcahy Family,,English
97,105,11419588,3,We All Need Some Light,402000,Transatlantic,Live in Europe,20 03,English
98,106,13846402,6,Illusion of Love,313000,Xalm Retribution,Illusion of Love,2 010,English
99,107,8012025,8,Closing,225000,Wah!,Urban Mantra,200z,English
100,108,4952,1,Astronomy Domine,252093,Pink Floyd,The Piper at the Gates of Dawn,19&7,English
101,109,13428207,4,Jõuluõhtu mõtisklus,,Kadri Savva,Võluaeg,2011,Estonian
102,110,12227506,1,Some(S).,185000,Wolfgang Amadeus Mozart,Frühe Symphonien, ,English
103,111,12887159,11,Je me rappelle d’une époque,335000,Le Vrai Ben feat. Yahlane,Suicide commercial,2009,French
104,112,15514143,10,"Rusalka, op. 114 B203: Song to the moon (Act I)",380000,Antonín Dvořák,"100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances",,English
105,113,13611679,16,Red-naped Sapsucker / Red-breasted Sapsucker,58000,Donald & Lillian Stokes with Kevin Colver,The Stokes Field Guide to Bird Songs: Western Region,,
106,114,16256610,5,Magnetic,202617,Satellites & Sirens,One Noise,2014,English
107,115,2533049,14,We Watched Our Sad-Eyed Angel Fall,329853,Black Tape for a Blue Girl,With a Million Tear-Stained Memories,2003,English
108,116,15110362,7,When You're Smiling at Me,268000,Sly Blue,Edge of the World,2012,English
109,117,8123933,2,Echo Elephant,286000,Luna Negra,Soundproof Demo,2009,English
110,118,12332119,6,Some(S).,541000,Paris Hilton,Stars Are Blind, ,English
3600,119,15,14434584,The Old Tiger,220266,Vertolaye,Mercedes-Benz Mixed Tape 03,2004,English
111,120,12097324,5,When the Summer Is Gone,255000,Jerry Williams,I Can Jive - Det Bästa Med Jerry Williams,2007,English
112,121,16250646,12,Always on Time,245000,Ja Rule feat. Ashanti,Hip Hop - The Collection: The Classics,,English
4625,122,14223775,A2,Bow to the Masters,,Inkblack,Inkblack Versus Fondlecorpse,20 03,English
113,123,3469085,13,,231706,Dirty South,"10"" Dubplate Sessions",,English
114,124,382619,4,Rockin' Back Inside My Heart,349066,Floating Into the Night,Julee Cruise,,English
115,125,9125101,16,Some(A).,82000,Richard Strauss,"Arabella (Wiener Philharmoniker feat. conductor: Sir Georg Solti, soprano: Lisa della Casa)",1998,English
116,126,5748492,10,Ultimate Angels,147000,Strange Advance,The Distance Between,,English
117,127,3648486,2,Three O'Clock in the Morning,342933,Dexter Gordon,The Classic Blue Note Recordings,20 03,English
118,128,8960637,31,あした晴れたら,91480,ガスト,リーナのアトリエ〜シュトラールの錬金術士〜　オリジナルサウンドトラック,,Japanese
119,129,12232568,3,Power to the Bone,306480,Mennen,Planet Black,,English
120,130,547298,4,What Is This Thing Called Love?,300733,Delirious?,Cutting Edge 1 & 2, 1994,English
121,131,116573,10,Under the Sun,210960,Buzzcocks,Modern,1999,English
122,132,9302489,4,Pout-Porri: Inigualável Paixão/Falsa Consideração,397000,Art Popular,Pagode pra Valer,199 9,Portuguese
123,133,3848489,8,The Way We Get By,,Spoon,The O.C. - The Best of Season 1,,English
4297,134,4133126,2,Slim Black Boogie,260133,Jacques Higelin,Aï,1985,French
124,135,16044746,8,,Histoire De Famille,Dany Bédar,On A Tous Une Histoire À Conter,,French
125,136,5566646,5,,134000,G.Rag y los Hermanos Patchekos,Cadeau bizarre,,[Multiple languages]
126,137,14205689,11,Ludwika: Prélude Opus 28 No.23,131000,Hans Visser,The Four Elements: Water Sensuality,,
127,138,1893005,18,Daydream Believer,176640,The Residents,Residue deux,g,English
128,139,10455771,2,Let Me Make Love to You,218000,The O'Jays,"Between the Sheets, Volume 1",,English
129,140,10372484,13,If There Is No Tomorrow (remixed by CygnosiC),340213,Wynardtage,The Grey Line,2008,English
130,141,5698222,2,Make It Happen,142000,The Get Set,2002,Down Marriot Lane!,English
131,142,13094555,B2,Tuuli,209000,Skädäm,Mustat joutsenet,,Finnish
132,143,3068628,13,English,245360,Kelpe,Sea Inside Body,,Sylvania
133,144,463393,4,Ghosttown,243026,Fury in the Slaughterhouse,The Hearing and the Sense of Balance,1995,English
134,145,15591218,Hello America,1,166000,Dan Bárta,Horem pádem,,[Multiple languages]
135,146,14937379,10,My Ding-A-Ling,237600,Mad Props,"Best of Bass, Volume 3",1994,English
136,147,9454424,1,Λαβωματιά,244000,Νότης Μαυρουδής,Στην ηχώ του έρωτα, 2002,Greek
137,148,13985547,4,,141000,Jerry Fielding,The Killer Elite,,English
138,149,950272,1,Some(O).,136026,久石譲,Kiki's Delivery Service,,English
139,150,1536815,4,Vergeet Het Maar,260560,De Kreuners,De Kreuners,,
140,151,Knochenbett,3,30 Knochenbett,529000,Patricia Cornwell,15950668,,German
141,152,6865548,2,Abie Stracie,,Like a Tim,Audio Art,,English
142,153,2001359,20,kanashimi wo koete,133266,江口貴勅,D.N.Angel Original Soundtrack I, ,Japanese
143,154,7237211,7,If,239226,Silver Rocket,Tesla,2008,English
144,155,3368170,4,On the Bank,189906,Rude Rich and the High Notes,Soul Stomp,,English
145,156,792392,9,,307026,Dubok,Immersed, ,English
146,157,3959194,9,Iyole,380400,Kanda Bongo Man,Afrique Dynamique,2001,[Multiple languages]
147,158,13106312,9,(Watch Out for) The Normal People,,The Boomtown Rats,A Tonic for the Troops, 1978,English
148,159,5549119,15,Du finns hos mig,217000,Ratata,Kollektion,20o6,Swedish
1771,160,6376351,9,Radio Stars,211000,London,Non Stop Rock, 2000,English
149,161,42270,3,Some(S).,170000,The Ralph Sharon Trio,The Ralph Sharon Trio Plays the Harry Warren Songbook,,English
150,162,9023626,18,Its Time Has Come,190000,Rick White Album,137,,English
151,163,6310295,6,"Quartetto Per Archi, Op. 1: III. Vivacissimo: lento",209226,György Kurtág,Musik für Streichinstrumente (Keller Quartett), ,[Multiple languages]
152,164,2528109,9,Don't Dream It's Over,243960,Sixpence None the Richer,The Best of Sixpence None the Richer,2004,English
153,165,5647283,8,CC Rider,275000,Honeyboy Hickling,Bare Tracks,,English
154,166,4890205,7,It's All Too Much (mono),496173,The Beatles,"Every Little Thing, Volume 2",,English
155,167,10045030,1,Jewel Thief,,Sukh Knight,Jewel Thief / Flyer Manz,2010,English
156,168,8539756,7,Le Surveillant général,165000,Michel Sardou,Les N°1 de Michel Sardou,20 09,French
157,169,1157314,5,Some(B).,227280,Musa Eroğlu,Sele Verdim,2003,Turkish
158,170,16248550,7,Saturne,175493,Georges Brassens,J'ai rendez-vous avec vous (intégrale édition 88),1988,French
159,171,3824384,21,Somewhere Over the Rainbow,227133,Max Greger & His Orchestra,Oscar-Melodien zum Tanzen,,English
160,172,1339451,12,Under the Top,341800,Elliot Goldenthal,Batman Forever: Original Motion Picture Score,1995,English
161,173,5757426,2,ピンぼけ,,高田梢枝,渋滞ぬけみちなし,2O04,Japanese
162,174,16288675,E4,"A Wand'ring Minstrel I, From ""The Mikado""",261000,Sir William Gilbert & Sir Arthur Sullivan,Golden Sounds From the Classics,,English
163,175,12139470,11,Held Hostage,186000,The Last Resort,"Oi! The Singles Collection, Volume 2",1996,English
164,176,14864713,18,We R Who We R,204000,Ke$ha,Animal + Cannibal,2 011,English
165,177,9627405,7,Concerto in FaM a tre flauti e basso - 2. Allegro,152000,Domenico Scarlatti,"Concerti e sinfonie per flauto (Noferi, Il Rossignolo - TENERANI)",2001,Italian
166,178,6724330,10,In My Lifetime,266533,Soulja Flow,My Promise to the Game in My Lifetime,20 00,English
167,179,7127150,13,"Act 2, Scene III: Recitativo - Voi quel folgio lasciate (Serse/Atalanta)",11000,Georg Friedrich Händel,Serse (Atto Secondo),2003,Italian
168,180,18196,2,Diamond Head,117000,The Lost Souls,"History of Michigan Garage Bands in the 60's, Volume 1: Wheels 4: Label Story",1994,English
169,181,3848420,14,Some(G).,52560,Agoraphobic Nosebleed,"Bestial Machinery Discography, Volume 1", ,English
170,182,9116745,7,Yer Blooze,,The Loungs,Big Wow,,English
171,183,10847961,7,Ya están aquí,186706,Hablando en Plata Squad,Libertad / Hambre / Historia,20 09,Spanish
172,184,12804407,17,Perdóname,169040,Zion y Lennox,Motivando a la yal,2004,Spanish
173,185,11639238,5,Let's Do It (Let's Fall in Love),177888,Conal Fowkes,Midnight in Paris: Music From the Motion Picture,,[Multiple languages]
174,186,11247796,4,Oppia rakastamaan,282000,Eurooppa 3,Pakko Matkustaa,2001,Finnish
175,187,,9,Geltendes Recht,418173,Projekt Aaskereia,Projekt Aaskereia,3649943,German
176,188,12428886,6,Life es corta,,Látex,Recuérdame,z005,Spanish
177,189,7482971,13,Sunflower,171733,Glen Campbell,His Greatest Hits,,English
178,190,13524394,1,Ooh La La,,Faces,Stay With Me: Faces Anthology,2012,English
179,191,11974127,1,Some(I).,339000,Altar K,Frannce,2007,French
180,192,304038,1,Images,172600,Nina Simone,Ultimate Nina Simone,19 97,English
181,193,13546434,13,Le Vent,76000,Georges Brassens,Paris romantique,2008,French
182,194,14549479,4,Looking for Lives,271000,Timothy James Meaney,Looking for Lives,1992,English
183,195,2498124,3,Some(I).,103693,The Paris Sisters,200 Original Jukebox Hits,,English
184,196,,4,Symphonie No. 9: IV. Allegro con fuoco,715600,Antonín Dvořák,Antonín Dvořák: Symphony No. 9 / Bedřich Smetana: Die Moldau (Berliner Philharmoniker & Boston Symphony Orchestra),,634691
185,197,8671968,5,'s Wonderful,151866,Sarah Vaughan,Great Ladies and Gents of Jazz,1999,English
186,198,5663854,4,,219000,Skorbut,Access All Areas,,English
1580,199,7762433,11,Woebegone,149773,The Long Lost,The Long Lost,2009,English
187,200,15064590,2,Legacy in Glass,227000,Raygun Ballet,Big California,z013,English
188,201,8642753,51,Harp Glissando (h),9000,Jim Rattigan,The Harp Album,,English
189,202,11415707,66,Brass Flutter Wop,8000,Lisle Moore,Production Tools 1,,English
190,203,10713914,2,Gusanos,,Mikelote & Pipa,Beat Cunnilingüistas,2011,Spanish
191,204,4618302,13,,321520,Sakari Kukko,Joulu,,Finnish
192,205,7053450,1,Nineteen Ninety Seven,228013,Hypoetical,Pendulum,2010,English
193,206,3234607,53,,5000,Pimpadelic,Southern Devils,,
194,207,8526912,1,Μιά βόλτα στα βαθιά,179000,Σωκράτης Μάλαμας,Παραμύθια,1 991,Greek
195,208,4030021,3,It's All Over,174640,Reckless Kelly,Millican,,English
196,209,15568430,13,Mandulinata a Napoli,175415,Ernesto Tagliaferri,"Italian Popular Songs, Volume 1",,Italian
197,210,8701698,10,Some(A).,108000,Christian Hölbling,Helfried kommt!,2003,German
198,211,2029645,19,Mock Moon (Erik Vee remix),140733,Genlog,Club System Gold Edition,2 002,English
199,212,,4,Perfect Spot,190560,Jason Manns,Jason Manns,9799653,English
200,213,13554742,6,Woman's Work,144906,Tracy Chapman,Live Performances: 1988-2000 (disc 2),,English
201,214,13419265,2,"Doppelkonzert für 2 Violinen und Orchester D-Moll BWV 1043 (Largo Ma Non Tanto) (J. Brezina, F. Elias, Soloviolinen Carmerata Romana feat. conductor: Eugen Duvier)",432000,Johann Sebastian Bach,Classic Dreams,,German
202,215,8562015,13,There's a Drill Sergeant There,81000,Sun Harbor's Chorus,Marching Cadences of the U.S. Army Infantry,200 2,English
203,216,1903073,3,Flickorna i Våran Stad,235400,Apopocalyps,Nu!,1992,Swedish
204,217,6460247,3,"Palestrina: II. Akt, V. Szene ""Darf ich die Frage stellen, warum nicht nach der Reih""",424840,Hans Pfitzner,Palestrina (Chor & Symphonie-Orchester des Bayerischen Rundfunks feat. conductor: Rafael Kubelik),19b89,German
205,218,13012984,99,Some(D).,30000,Henny Arve,Revolt,,English
206,219,5257650,21,Pressure,162600,Seeed,Live, 2006,[Multiple languages]
207,220,3383848,10,Imperial March (Simon Preston),314707,Sir Edward Elgar,Great Organ Works,,English
208,221,263229,2,This Is Ponderous (remix),219466,2NU,Command Z,,English
209,222,9479109,20,,217000,Chris Gibbons,Voices of the World,,English
210,223,5133186,19,Take Away Your Rosy Lips,,Hardrock Gunter,"Gonna Rock 'n' Roll, Gonna Dance All Night",2000,English
211,224,1938201,4,Get Under It,141666,Robert Pollard,Not in My Airforce,,English
212,225,15346658,18,Tahdon tanssia kanssasi,260227,Tomi Metsäketo & Johanna Kurkela,Uneni kaunein: Parhaat 2005-2011,201|,Finnish
213,226,2045218,10,,307133,Tina May & Tony Coe,Jazz Piquant,,
214,227,456600,2,Nada,365000,Robert Rich,Humidity,2o00,English
215,228,478356,The Silver Circle,2,187133,Faith and the Muse,"Annwyn, Beneath the Waves",2001,English
216,229,14063650,4,Love & Peace = パラダイス,,真野恵里菜,BEST FRIENDS,2013,Japanese
217,230,10300311,10,Misty Space,148000,Ninni Morgia,Ninni Morgia Control Unit,200 9,English
218,231,7942053,6,,284000,Manufacturer's Pride,Sound of God's Absence,20O 9,English
219,232,7384213,10,Kyrie (Orbis factor),90640,Polifónica Turolense,Canto Gregoriano y Polifonía (Disco 1),2008,
220,233,1614969,3,,496000,Low,Murderer,2003,English
221,234,5032833,1,Turn It Up,229160,Robots in Disguise,Get Rid!,2006,English
222,235,1206224,6,Where the Girls Are,,Billy Currington,That's Just Me,,
223,236,12769062,6,Turning,201000,Glass America,Fathom,,English
5595,237,1914151,9,Love of My Life,258066,David Palmer,Passing Open Windows: A Symphonic Tribute to Queen,1996,English
7729,238,2769545,8,Pain of Love,158906,Cyndy Starr & The Mopeds,The Blue Beat Ska and Reggae Revolution,,English
224,239,5917033,19,,292000,Bill Black,Headquarter Blues,,English
225,240,7954683,10,Time for Pepper,98000,Black Sun Productions,The Impossibility of Silence,20 06,English
226,241,14208924,4,Desafinado,171000,Nara Leão,The Muse Of Bossa Nova,,Portuguese
4225,242,9505722,3,BXM: Cres: Attention,7000,"John Anthony Sponsler, Jr. & Tom Gire",Brand X Music Catalogue: Editor's Essentials,,English
227,243,14831581,13,I Can Tell (live),169000,Dr. Feelgood,All Through the City (With Wilko 1974-1977),2013,English
228,244,11496479,10,"The Snow Maiden, Op. 12: No. 10. Melodrama",278360,Пётр Ильич Чайковский,"BBC Music, Volume 13, Number 4: Russian Christmas", z004,English
229,245,789543,11,Frank's Song,116666,Tom Waits,"The Early Years, Volume 1",,English
230,246,3819569,7,In the Summertime,108360,Roger Miller,King of the Road: The Best of Roger Miller,1992,English
231,247,1341751,Gyllene Tider,Ljudet av ett annat hjärta,234466,9,Instant Hits 1979-1989!,1989,[Multiple languages]
232,248,9377293,1,Germination (full mix),174000,Adrian James Watkins,Nu Electronica,,English
5066,249,10691261,12,Nonsense,53000,Robert Miles,Th1rt3en,2011,English
233,250,12691167,8,Functional,558000,Thelonious Monk,Jazz Manifesto,2009,English
234,251,12232837,6,End of June,,Flash Forward,"Games, Cheats & Fakes",,English
235,252,14005756,8,On A Drowsy Sea,222466,Tear Ceremony,An Hourglass Of Opals,1993,English
236,253,2333393,4,Chapter 49,131586,John Vornholt,"The Genesis Wave, Book 1",,
237,254,2737608,6,Nowhere,99440,Króm,It All Makes Sense Now,2003,English
238,255,13274814,1,Jesus,205000,GoodMorningBoy,Boomsongs for Velvet,2004,English
239,256,9190093,3,Into the Veil,271000,Satan's Host,Metal From Hell, 1986,English
240,257,9252371,10,Letters From Home,277000,Angie Palmer,Tales of Light and Darkness,,English
4758,258,12686221,8,D01.08-25,261476,Clive Cussler,Dirk Pitt 7: Deep Six,1984,English
241,259,13858079,45,Shop Radio 1,46802,Eirik Suhrke,Spelunky,2012,English
5204,260,10365937,861,One Shots: Snare: One Shots Snares 78-02,,[unknown],Sony Sound Series: Loops & Samples: On the Jazz Tip,,English
242,261,15240326,3,Carnival in Coal,302026,Urine Facewash,Vivalavida,2005,English
5167,262,2022763,1,Two Thousand-One Years Ago,260760,Jean-Luc Ponty,Life Enigma,200 l,English
243,263,292905,2,1990,244400,Joe Jackson,Night and Day,Chinatown,English
244,264,5531345,3,"Sonata für Viola da Gamba und Cembalo Nr. 4 C-dur, BWV 529: III. Allegro",219133,Johann Sebastian Bach,"Die Sonaten für Viola da gamba und Cembalo (viola da gamba: Jordi Savall, harpsichord: Ton Koopman)",1998,German
245,265,6561943,7,Everytime (Nalin & Kane mix),513306,Lustral,"Dancenet, Volume 3",199 7,English
246,266,12262384,3,Join the Team,,[unknown],XXL Jingles 1,,English
247,267,9240701,13,Перекати-полька,109000,Умка и Броневичок,Низкий старт,19g8,Russian
248,268,15743411,18,How Do You Sleep,296000,The Stone Roses,Totally Stoned,1998,English
249,269,10756255,6,Octomber,91000,Scythelence,Appaseasonato,2011,English
250,270,1645331,2,Do What You Love,257133,J. Boogie's Dubtronic Science,J. Boogie's Dubtronic Science,,English
251,271,9159102,2,St Louis Blues March,231093,The Colin Busby Big Swing Band,Swing Greats,1999,English
252,272,1366025,7,Some(B).,,Rocky Dennis,Gör sin grej på Emmaboda,,[Multiple languages]
253,273,9150375,19,Complainte de Pablo Neruda,250000,Jean Ferrat,Best Of 3CD,2009,French
254,274,8679041,185,Honour and Achievement (q),9000,James Copperthwaite,"Conferences, Awards and Presentations",,English
4338,275,15714452,B1,Magic Impuls (Jacob & Mendez remix),403000,Exposure,Magic Impuls,2002,English
255,276,9791485,2,Vision,1732000,Dr. Jeffrey Thompson,Creative Mind System,O,English
256,277,10675690,9,"Symphony No. 35 B-flat major, HOB I:35: I. Allegro di molto",302000,Joseph Haydn,The Complete Symphonies (Stuttgart Chamber Orchestra feat. conductor: Dennis Russell Davies),2009,English
257,278,2820945,5,Arrepientete,245133,Orquesta Broadway,Pasaporte,,
258,279,12032653,1,Zero Sex,,Christian Death,Zero Sex,198 9,English
